comment
data_type,source,content,metrics,context_tags
舆情,小红书,"陆景和女仆装那个拉链细节谁懂啊！这种‘被迫营业’的羞涩感真的绝了，未定美术组永远的神",15000 likes,"#陆景和 #反差感"
舆情,微博,"又是排队！线下大头贴活动上海站秩序太乱了，周边半小时就断货，官方能不能长点心？",-500 comments,"#线下避雷 #玩家维权"
舆情,抖音,"左然毕业照白衬衫滤镜混剪，看完想回校园找学长谈恋爱了",80000 shares,"#国民学长 #出圈"
二创,B站,"【手绘】陆景和女仆装24小时速涂，只要我不尴尬尴尬的就是别人",120000 views,"#同人创作 #高热度"
二创,小红书,"未名市优秀市民手账拼贴：记录我与左律师的异地恋纪念日",8500 likes,"#玩家梗 #生活化营销"
内容资产,官方PV,"陆景和‘私语’卡面台词：‘既然姐姐想看，那这份‘代价’，你准备好支付了吗？’",卡面细节：拉链/颈饰,"语音：戏谑/低沉"
内容资产,剧情文案,"左然‘毕业季’核心台词：‘无论身份如何改变，我身边的位置，始终只为你预留。’",场景：校园/树下,"属性：纯爱/怀旧"
竞品动态,市场监测,"《恋与深空》宣布明日开启‘私密心跳’主题卡池，主打高互动3D互动卡",档期：明日开启,"压力：高"
竞品动态,市场监测,"《光与夜之恋》婚卡复刻活动进入尾声，玩家氪金力开始回落",档期：末尾,"机会：承接流量"
市场环境,日历,"当前时间节点：6月毕业季 & 暑期预热期",时令：毕业季,"热点：学生群体"
